logs/depth.did.Reb1.500K.log.err-1:real	0m29.621s
logs/depth.did.Reb1.500K.log.err-10:real	0m31.388s
logs/depth.did.Reb1.500K.log.err-100:real	0m30.134s
logs/depth.did.Reb1.500K.log.err-1000:real	0m26.541s
logs/depth.did.Reb1.500K.log.err-101:real	0m29.828s
logs/depth.did.Reb1.500K.log.err-102:real	0m26.118s
logs/depth.did.Reb1.500K.log.err-103:real	0m26.236s
logs/depth.did.Reb1.500K.log.err-104:real	0m29.840s
logs/depth.did.Reb1.500K.log.err-105:real	0m29.582s
logs/depth.did.Reb1.500K.log.err-106:real	0m26.911s
logs/depth.did.Reb1.500K.log.err-107:real	0m26.577s
logs/depth.did.Reb1.500K.log.err-108:real	0m30.020s
logs/depth.did.Reb1.500K.log.err-109:real	0m25.954s
logs/depth.did.Reb1.500K.log.err-11:real	0m25.991s
logs/depth.did.Reb1.500K.log.err-110:real	0m26.540s
logs/depth.did.Reb1.500K.log.err-111:real	0m30.142s
logs/depth.did.Reb1.500K.log.err-112:real	0m26.170s
logs/depth.did.Reb1.500K.log.err-113:real	0m26.279s
logs/depth.did.Reb1.500K.log.err-114:real	0m26.336s
logs/depth.did.Reb1.500K.log.err-115:real	0m30.273s
logs/depth.did.Reb1.500K.log.err-116:real	0m26.810s
logs/depth.did.Reb1.500K.log.err-117:real	0m29.683s
logs/depth.did.Reb1.500K.log.err-118:real	0m29.883s
logs/depth.did.Reb1.500K.log.err-119:real	0m30.115s
logs/depth.did.Reb1.500K.log.err-12:real	0m26.030s
logs/depth.did.Reb1.500K.log.err-120:real	0m30.147s
logs/depth.did.Reb1.500K.log.err-121:real	0m29.985s
logs/depth.did.Reb1.500K.log.err-122:real	0m26.863s
logs/depth.did.Reb1.500K.log.err-123:real	0m30.718s
logs/depth.did.Reb1.500K.log.err-124:real	0m29.902s
logs/depth.did.Reb1.500K.log.err-125:real	0m31.530s
logs/depth.did.Reb1.500K.log.err-126:real	0m25.765s
logs/depth.did.Reb1.500K.log.err-127:real	0m26.512s
logs/depth.did.Reb1.500K.log.err-128:real	0m31.086s
logs/depth.did.Reb1.500K.log.err-129:real	0m31.156s
logs/depth.did.Reb1.500K.log.err-13:real	0m31.606s
logs/depth.did.Reb1.500K.log.err-130:real	0m26.966s
logs/depth.did.Reb1.500K.log.err-131:real	0m26.498s
logs/depth.did.Reb1.500K.log.err-132:real	0m30.039s
logs/depth.did.Reb1.500K.log.err-133:real	0m26.156s
logs/depth.did.Reb1.500K.log.err-134:real	0m26.812s
logs/depth.did.Reb1.500K.log.err-135:real	0m30.010s
logs/depth.did.Reb1.500K.log.err-136:real	0m26.474s
logs/depth.did.Reb1.500K.log.err-137:real	0m25.925s
logs/depth.did.Reb1.500K.log.err-138:real	0m26.084s
logs/depth.did.Reb1.500K.log.err-139:real	0m30.279s
logs/depth.did.Reb1.500K.log.err-14:real	0m29.744s
logs/depth.did.Reb1.500K.log.err-140:real	0m26.886s
logs/depth.did.Reb1.500K.log.err-141:real	0m29.295s
logs/depth.did.Reb1.500K.log.err-142:real	0m29.975s
logs/depth.did.Reb1.500K.log.err-143:real	0m29.598s
logs/depth.did.Reb1.500K.log.err-144:real	0m30.099s
logs/depth.did.Reb1.500K.log.err-145:real	0m30.145s
