2023-06-12 16:07:53.361847	https://www.encodeproject.org/report/?type=File&assembly=GRCh38&assay_title=TF+ChIP-seq&file_format=bam&output_type=alignments&biosample_ontology.term_name=K562&biosample_ontology.term_name=A549&biosample_ontology.term_name=MCF-7&biosample_ontology.term_name=HeLa-S3&biosample_ontology.term_name=SK-N-SH&biosample_ontology.term_name=HCT116&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF353YHJ/	ENCFF353YHJ	ENCFF353YHJ	/experiments/ENCSR701TCU/	GRCh38	1_1	1	bam	bam		731297869	ChIP-seq	A549	lung		/biosamples/ENCBS121DKS/	CEBPB	/files/ENCFF353YHJ/@@download/ENCFF353YHJ.bam	/files/ENCFF110MCL/,/files/ENCFF747LHY/								51	51	2	single-ended	nt	alignment	alignments		/chip-library-quality-metrics/080ad810-b7b1-4908-91ef-d181d3bf2d97/,/chip-alignment-quality-metrics/3f77d9f0-2326-44e3-a77f-98eda0e98f11/,/chip-alignment-enrichment-quality-metrics/43b73b3d-ddd4-4178-b0e0-2685f8cc3ca0/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/7679583b-5ceb-4bd0-a832-399ff2c16fa5/	2020-12-31T17:24:08.125644+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF473GBW/	ENCFF473GBW	ENCFF473GBW	/experiments/ENCSR000BMR/	GRCh38	1_1	1	bam	bam		989403170	ChIP-seq	K562	blood,bodily fluid		/biosamples/ENCBS109ENC/	POLR2A	/files/ENCFF473GBW/@@download/ENCFF473GBW.bam	/files/ENCFF110MCL/,/files/ENCFF000QDX/								36	36	2	single-ended	nt	alignment	alignments		/chip-alignment-enrichment-quality-metrics/1def3d2b-f7b0-4fb0-bd37-25f053d96567/,/chip-alignment-quality-metrics/88872573-a02f-4d31-af15-4db35f34e704/,/chip-library-quality-metrics/7a1b024a-1e18-406b-8db2-7eb085ac7a40/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/60599f41-ce31-41f2-917c-7d844a034247/	2020-12-28T01:35:53.980847+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF780QTR/	ENCFF780QTR	ENCFF780QTR	/experiments/ENCSR000BUC/	GRCh38	2_1	2	bam	bam		1086145055	ChIP-seq	A549	lung		/biosamples/ENCBS164AAA/	RAD21	/files/ENCFF780QTR/@@download/ENCFF780QTR.bam	/files/ENCFF000NFN/,/files/ENCFF110MCL/								50	50	2	single-ended	nt	alignment	alignments		/chip-library-quality-metrics/761023ea-5edc-4be4-ac76-5a0ffe41393b/,/chip-alignment-quality-metrics/e16e7e37-e25f-48c8-9edb-3a4a7729eb9f/,/chip-alignment-enrichment-quality-metrics/e95462a6-9381-4c31-b6ab-ac84b8095eeb/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/5252dda3-b9ae-4d60-b3ff-77ad859cb2f4/	2020-12-27T07:03:03.373969+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF461LXW/	ENCFF461LXW	ENCFF461LXW	/experiments/ENCSR442VBJ/	GRCh38	1_1	1	bam	bam		3273804089	ChIP-seq	MCF-7	mammary gland,epithelium,exocrine gland		/biosamples/ENCBS345ZJP/	RAD51	/files/ENCFF461LXW/@@download/ENCFF461LXW.bam	/files/ENCFF687ONI/,/files/ENCFF110MCL/,/files/ENCFF501ZOW/								100	100	2	paired-ended	nt	alignment	alignments		/chip-alignment-enrichment-quality-metrics/4b52441c-8bc7-40d1-984c-383e00e90f4e/,/chip-alignment-quality-metrics/fb5ecdb5-2d30-423e-9259-e9a14985c8e1/,/chip-library-quality-metrics/a7dcdcb4-17fc-4664-82a9-f1ae24f30ffe/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/b3a94d50-1d80-4f24-8ffa-757d3d4fc811/	2020-12-30T13:34:39.327974+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF016THF/	ENCFF016THF	ENCFF016THF	/experiments/ENCSR000BRQ/	GRCh38	1_1	1	bam	bam		1198263015	ChIP-seq	K562	blood,bodily fluid		/biosamples/ENCBS109ENC/	CEBPB	/files/ENCFF016THF/@@download/ENCFF016THF.bam	/files/ENCFF110MCL/,/files/ENCFF000PXH/								36	36	2	single-ended	nt	alignment	alignments		/chip-library-quality-metrics/8088b341-829b-4f79-a99c-c9ab61eb91cf/,/chip-alignment-enrichment-quality-metrics/92cf41fc-dd2b-4c02-9965-19bb38ec2f3d/,/chip-alignment-quality-metrics/ec1af4f6-31a2-486b-ac6d-4db15adf22dc/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/190dc415-fa6a-4321-990f-0ed9b16b0ba0/	2020-12-27T08:40:50.380513+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF705YAH/	ENCFF705YAH	ENCFF705YAH	/experiments/ENCSR796ITY/	GRCh38	2_1	2	bam	bam		5938501472	ChIP-seq	K562	blood,bodily fluid		/biosamples/ENCBS357NWO/	NFIC	/files/ENCFF705YAH/@@download/ENCFF705YAH.bam	/files/ENCFF456ASW/,/files/ENCFF110MCL/,/files/ENCFF439DZE/								100	100	2	paired-ended	nt	alignment	alignments		/chip-alignment-quality-metrics/26d217b3-91f4-47f2-95f4-96339f2b9041/,/chip-library-quality-metrics/e251636c-9e38-4971-8559-d9bd4dc5c8aa/,/chip-alignment-enrichment-quality-metrics/9203f3cc-3b9d-4850-ac68-c6378d6a8fbb/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/599bf712-c2c9-41af-9919-5d8deef23be7/	2020-12-30T06:47:09.588591+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF060DRK/	ENCFF060DRK	ENCFF060DRK	/experiments/ENCSR000BRQ/	GRCh38	2_1	2	bam	bam		240144522	ChIP-seq	K562	blood,bodily fluid		/biosamples/ENCBS109ENC/	CEBPB	/files/ENCFF060DRK/@@download/ENCFF060DRK.bam	/files/ENCFF110MCL/,/files/ENCFF000PXC/								36	36	2	single-ended	nt	alignment	alignments		/chip-alignment-enrichment-quality-metrics/9ff034fb-8777-4d4b-b94b-7baf3b7f960f/,/chip-library-quality-metrics/7afdd9c7-61cb-47d1-91bc-6339087dffb8/,/chip-alignment-quality-metrics/e68997b1-c526-4605-9f9e-082911a2ded4/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/190dc415-fa6a-4321-990f-0ed9b16b0ba0/	2020-12-27T08:40:53.006426+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF343VTX/	ENCFF343VTX	ENCFF343VTX	/experiments/ENCSR000BMF/	GRCh38	1_1	1	bam	bam		430529423	ChIP-seq	SK-N-SH	brain	treated with 6 μM all-trans-retinoic acid for 48 hours	/biosamples/ENCBS404ENC/	USF1	/files/ENCFF343VTX/@@download/ENCFF343VTX.bam	/files/ENCFF000RGQ/,/files/ENCFF110MCL/								36	36	2	single-ended	nt	alignment	alignments		/chip-alignment-enrichment-quality-metrics/1de5150f-4297-4a8e-98a3-1a9c6ab8fc2d/,/chip-library-quality-metrics/da98d7c6-b45a-4337-a945-6523e757264c/,/chip-alignment-quality-metrics/b575e735-2809-4fc8-8e91-fd4ab14217e2/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/bc04079f-d7e7-498c-9a76-83114b801398/	2020-12-27T11:08:26.690428+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF253KUT/	ENCFF253KUT	ENCFF253KUT	/experiments/ENCSR447ZMS/	GRCh38	3_1	3	bam	bam		703538881	ChIP-seq	A549	lung	treated with 100 nM dexamethasone (agonist) for 0.5 hours	/biosamples/ENCBS296DQU/	CEBPB	/files/ENCFF253KUT/@@download/ENCFF253KUT.bam	/files/ENCFF110MCL/,/files/ENCFF859YGK/								51	51	2	single-ended	nt	alignment	alignments		/chip-alignment-enrichment-quality-metrics/b0d438f2-c437-42ae-9323-782dc7e693a1/,/chip-alignment-quality-metrics/e6d5b773-b6c9-4aea-9c9a-13ef17481160/,/chip-library-quality-metrics/0165c1ad-b9de-4967-b4e9-f2d4cfb3746f/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/4e462788-0366-4f28-81ea-789ddd65c75d/	2020-12-31T20:02:17.183810+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
/files/ENCFF854TLJ/	ENCFF854TLJ	ENCFF854TLJ	/experiments/ENCSR000BUC/	GRCh38	1_1	1	bam	bam		1120757998	ChIP-seq	A549	lung		/biosamples/ENCBS164AAA/	RAD21	/files/ENCFF854TLJ/@@download/ENCFF854TLJ.bam	/files/ENCFF110MCL/,/files/ENCFF000NFL/								50	50	2	single-ended	nt	alignment	alignments		/chip-library-quality-metrics/d09f0aae-840f-460d-af30-2bbfdd28c752/,/chip-alignment-enrichment-quality-metrics/1bc6d4aa-8028-49a3-b12f-c99914e995cf/,/chip-alignment-quality-metrics/0d682883-ef5e-4ea3-87da-0122898e2475/	ENCODE Processing Pipeline	ENCODE	/analysis-step-runs/5252dda3-b9ae-4d60-b3ff-77ad859cb2f4/	2020-12-27T07:03:00.820026+00:00	/analysis-step-versions/chip-seq-alignment-step-v-2-0/			released				
